unique.ID,block,water,microbe,rep,bkgrd,focal,ACAM,BRHO,BRHO.flowering,date,BRHO.flowering.followup,date.followup,sample.collected,num.living.bg.indiv,num.dead.bg.indiv,num.focal.indiv,date,notes
163,13,0.75,1,1,ACAM,BRHO,6,focal,yes,4/10/24,,,,,,,,
205,13,1,1,2,ACAM,BRHO,18,focal,no,4/10/24,no,4/15/24,,,,,,
206,13,1,1,2,ACAM,BRHO,24,focal,no,4/10/24,no,4/15/24,,,,,,
241,14,0.6,1,4,ACAM,BRHO,0,focal,yes,4/10/24,,,,,,,,
332,14,0.75,1,3,BRHO,ACAM,focal,48,yes,4/10/24,,,,,,,,
359,14,1,1,5,BRHO,ACAM,focal,24,yes,4/10/24,,,,,,,,
215,14,0.6,1,3,ACAM,BRHO,18,focal,no,4/10/24,no,4/15/24,,,,,,
255,14,0.75,1,4,ACAM,BRHO,18,focal,no,4/10/24,yes,4/15/24,,,,,,
226,14,0.75,1,3,ACAM,BRHO,24,focal,yes,4/10/24,,,,,,,,
197,14,0.75,1,2,ACAM,BRHO,36,focal,yes,4/10/24,,,,,,,,
214,14,0.6,1,3,ACAM,BRHO,12,focal,no,4/10/24,no,4/15/24,,,,,,
316,15,0.6,1,2,BRHO,ACAM,focal,48,yes,4/10/24,,,,,,,,
207,15,1,1,2,ACAM,BRHO,36,focal,buds,4/10/24,yes,4/15/24,,,,,,
247,15,0.6,1,4,ACAM,BRHO,36,focal,yes,4/10/24,,,,,,,,
331,15,0.75,1,3,BRHO,ACAM,focal,24,yes,4/10/24,,,,,,,,
286,15,0.75,1,5,ACAM,BRHO,24,focal,no,4/10/24,yes,4/15/24,,,,,,
209,15,1,1,2,ACAM,BRHO,60,focal,buds,4/10/24,buds,4/15/24,,,,,,
152,15,0.6,1,1,ACAM,BRHO,3,focal,yes,4/10/24,,,,,,,,
327,15,0.6,1,3,BRHO,ACAM,focal,24,yes,4/10/24,,,,,,,,
165,16,0.75,1,1,ACAM,BRHO,18,focal,buds,4/10/24,yes,4/15/24,,,,,,
340,16,0.6,1,4,BRHO,ACAM,focal,48,yes,4/10/24,,,,,,,,
333,16,1,1,3,BRHO,ACAM,focal,0,NA,4/10/24,,,,,,,,
189,16,0.6,1,2,ACAM,BRHO,60,focal,yes,4/10/24,,,,,,,,
278,16,0.6,1,5,ACAM,BRHO,48,focal,yes,4/10/24,,,,,,,,
179,16,1,1,1,ACAM,BRHO,60,focal,buds,4/10/24,yes,4/15/24,,,,,,
201,16,1,1,2,ACAM,BRHO,0,focal,buds,4/10/24,yes,4/15/24,,,,,,
252,16,0.75,1,4,ACAM,BRHO,3,focal,yes,4/10/24,,,,,,,,
160,17,0.6,1,1,ACAM,BRHO,84,focal,no,4/10/24,no,4/15/24,,,,,,
177,17,1,1,1,ACAM,BRHO,36,focal,yes,4/10/24,,,,,,,,
294,17,1,1,5,ACAM,BRHO,12,focal,no,4/10/24,no,4/15/24,,,,,,
191,17,0.75,1,2,ACAM,BRHO,0,focal,yes,4/10/24,,,,,,,,
343,17,0.75,1,4,BRHO,ACAM,focal,24,yes,4/10/24,,,,,,,,
173,17,1,1,1,ACAM,BRHO,6,focal,no,4/10/24,buds,4/15/24,,,,,,
232,17,1,1,3,ACAM,BRHO,3,focal,no,4/10/24,no,4/15/24,,,,,,
170,17,0.75,1,1,ACAM,BRHO,84,focal,no,4/10/24,no,4/15/24,,,,,,
234,18,1,1,3,ACAM,BRHO,12,focal,buds,4/10/24,yes,4/15/24,,,,,,
269,18,1,1,4,ACAM,BRHO,60,focal,yes,4/10/24,,,,,,,,
242,18,0.6,1,4,ACAM,BRHO,3,focal,no,4/10/24,no,4/15/24,,,,,,
228,18,0.75,1,3,ACAM,BRHO,48,focal,yes,4/10/24,,,,,,,,
296,18,1,1,5,ACAM,BRHO,24,focal,no,4/10/24,no,4/15/24,,,,,,
298,18,1,1,5,ACAM,BRHO,48,focal,buds,4/10/24,yes,4/15/24,,,,,,
213,18,0.6,1,3,ACAM,BRHO,6,focal,no,4/10/24,no,4/15/24,,,,,,
347,18,1,1,4,BRHO,ACAM,focal,24,yes,4/10/24,,,,,,,,
29,19,1,0,1,ACAM,BRHO,60,focal,no,4/10/24,yes,4/15/24,,,,,,
32,19,0.6,0,2,ACAM,BRHO,3,focal,buds,4/10/24,yes,4/15/24,,,,,,
17,19,0.75,0,1,ACAM,BRHO,36,focal,yes,4/10/24,,,,,,,,
60,19,1,0,2,ACAM,BRHO,84,focal,yes,4/10/24,,,,,,,,
48,19,0.75,0,2,ACAM,BRHO,48,focal,yes,4/10/24,,,,,,,,
26,19,1,0,1,ACAM,BRHO,24,focal,no,4/10/24,yes,4/15/24,,,,,,
47,19,0.75,0,2,ACAM,BRHO,36,focal,yes,4/10/24,,,,,,,,
85,19,1,0,3,ACAM,BRHO,18,focal,yes,4/10/24,,,,,,,,
105,20,0.75,0,4,ACAM,BRHO,18,focal,buds,4/10/24,yes,4/15/24,,,,,,
109,20,0.75,0,4,ACAM,BRHO,60,focal,buds,4/10/24,yes,4/15/24,,,,,,
138,20,0.75,0,5,ACAM,BRHO,48,focal,yes,4/10/24,,,,,,,,
144,20,1,0,5,ACAM,BRHO,12,focal,buds,4/10/24,yes,4/15/24,,,,,,
44,20,0.75,0,2,ACAM,BRHO,12,focal,yes,4/10/24,,,,,,,,
53,20,1,0,2,ACAM,BRHO,6,focal,yes,4/10/24,,,,,,,,
50,20,0.75,0,2,ACAM,BRHO,84,focal,yes,4/10/24,,,,,,,,
65,20,0.6,0,3,ACAM,BRHO,18,focal,buds,4/10/24,yes,4/15/24,,,,,,
3,21,0.6,0,1,ACAM,BRHO,6,focal,yes,4/10/24,,,,,,,,
30,21,1,0,1,ACAM,BRHO,84,focal,buds,4/10/24,buds,4/15/24,,,,,,
68,21,0.6,0,3,ACAM,BRHO,48,focal,yes,4/10/24,,,,,,,,
27,21,1,0,1,ACAM,BRHO,36,focal,buds,4/10/24,yes,4/15/24,,,,,,
82,21,1,0,3,ACAM,BRHO,3,focal,yes,4/10/24,,,,,,,,
119,21,1,0,4,ACAM,BRHO,60,focal,buds,4/10/24,yes,4/15/24,,,,,,
88,21,1,0,3,ACAM,BRHO,48,focal,no,4/10/24,no,4/15/24,,,,,,
73,21,0.75,0,3,ACAM,BRHO,6,focal,yes,4/10/24,,,,,,,,
