"focal","water","post_num","igr","equil","alpha_inter","microbe"
"ACAM",0.6,2750,-1.91664446085048,109,-0.0482800748803341,1
"ACAM",0.6,223,-2.05790036821161,110,-0.0510573519547665,1
"ACAM",0.6,509,-2.35914077883779,112,-0.0597828414207354,1
"ACAM",0.6,2918,-2.06215989912122,110,-0.0511592803348457,1
"ACAM",0.6,517,-2.4104067822241,111,-0.0637905300601494,1
"ACAM",0.6,2571,-2.21502684198263,119,-0.0512150301456172,1
"ACAM",0.6,2372,-2.25393936412067,118,-0.0526932015812812,1
"ACAM",0.6,2885,-2.30503353606741,119,-0.0546861373694559,1
"ACAM",0.6,1148,-2.20864267440125,104,-0.0576550715570939,1
"ACAM",0.6,725,-2.37230503132693,112,-0.0611785691428311,1
"ACAM",0.6,469,-2.0437698096434,106,-0.0539358429866181,1
"ACAM",0.6,2778,-2.21829551605946,114,-0.0542131025324445,1
"ACAM",0.6,21,-1.57533837777979,104,-0.0451151855551359,1
"ACAM",0.6,1758,-2.27445259168147,111,-0.0565451937507477,1
"ACAM",0.6,914,-1.89832310219632,115,-0.04608081754683,1
"ACAM",0.6,2496,-2.43995412688145,118,-0.061520847283091,1
"ACAM",0.6,2018,-2.20248128992293,107,-0.0573246384518016,1
"ACAM",0.6,2719,-1.95321243716073,108,-0.0508074534154109,1
"ACAM",0.6,2501,-1.95699861984418,110,-0.0487573133138524,1
"ACAM",0.6,470,-2.29698643478405,111,-0.0583430836991283,1
"ACAM",0.6,2310,-2.15568435882261,102,-0.0582302111403529,1
"ACAM",0.6,2908,-2.3430978048111,117,-0.0560209012135799,1
"ACAM",0.6,1468,-2.11282304615211,103,-0.0570197876062656,1
"ACAM",0.6,1454,-2.36106698360804,110,-0.0615961862863189,1
"ACAM",0.6,1079,-2.27139730196992,108,-0.0587499716913588,1
"ACAM",0.6,1630,-2.30524114445386,111,-0.0589902050842825,1
"ACAM",0.6,2909,-2.21296416654388,106,-0.0586080541177544,1
"ACAM",0.6,2836,-1.74717237071391,106,-0.0473558527409437,1
"ACAM",0.6,779,-1.90849283882065,116,-0.0451895625297765,1
"ACAM",0.6,151,-2.36271143874076,116,-0.0578696300458478,1
"ACAM",0.6,2511,-2.33690428864139,106,-0.0624001669684891,1
"ACAM",0.6,1639,-2.20852768659487,105,-0.0570584738956656,1
"ACAM",0.6,2494,-1.77653696242567,109,-0.045773272058325,1
"ACAM",0.6,420,-1.72501917569632,105,-0.0477072473875803,1
"ACAM",0.6,1391,-2.17088205073333,104,-0.0575095139910903,1
"ACAM",0.6,2981,-2.31409012330196,110,-0.0587332245343918,1
