"focal","water","post_num","igr","dens","alpha_inter","microbe"
"ACAM",0.6,2072,-1.87703005347642,104,-0.0490687511529097,1
"ACAM",0.6,3534,-2.12451297139446,115,-0.0503718589132976,1
"ACAM",0.6,3620,-2.31119820453564,110,-0.0591285293488285,1
"ACAM",0.6,3219,-1.60193028652163,102,-0.0456537624798768,1
"ACAM",0.6,59,-2.35309960999509,112,-0.0595257886883678,1
"ACAM",0.6,3381,-2.30071537524159,109,-0.0586724534360796,1
"ACAM",0.6,509,-2.15745086523703,116,-0.0512132915804028,1
"ACAM",0.6,1643,-2.14040591884929,109,-0.0541966636301411,1
"ACAM",0.6,3987,-1.79475387156948,115,-0.0442979458808867,1
"ACAM",0.6,1433,-2.08907545883233,107,-0.0538715706084507,1
"ACAM",0.6,1733,-2.38273056845695,112,-0.0611382271917692,1
"ACAM",0.6,2797,-1.68219106184256,109,-0.0445070510187925,1
"ACAM",0.6,2257,-1.68444740352905,109,-0.0448067928331145,1
"ACAM",0.6,2070,-2.15664392837757,113,-0.0518337205664246,1
"ACAM",0.6,212,-2.42134998596443,115,-0.0620482003866739,1
"ACAM",0.6,3941,-1.74452181070626,106,-0.0472522614338867,1
"ACAM",0.6,2093,-2.08820681003918,113,-0.0513295370812243,1
"ACAM",0.6,1772,-1.80853907513031,106,-0.0472751507945411,1
"ACAM",0.6,3498,-2.265919606213,111,-0.0554671631179434,1
"ACAM",0.6,3839,-1.77865999911537,106,-0.0461099917405055,1
"ACAM",0.6,3377,-1.90445942993585,105,-0.0494173700808049,1
"ACAM",0.6,3767,-1.93342747504337,120,-0.0450215850803801,1
"ACAM",0.6,1664,-2.34903695887222,115,-0.0580058567870397,1
"ACAM",0.6,1937,-2.36976661295821,117,-0.0574110966086009,1
"ACAM",0.6,1140,-2.34897972030062,107,-0.0619899682609939,1
"ACAM",0.6,1645,-2.07863449995582,110,-0.0515511325766711,1
"ACAM",0.6,2554,-2.18130482125948,111,-0.0540851798806499,1
"ACAM",0.6,3421,-2.41187667012264,116,-0.06014674139487,1
"ACAM",0.6,3913,-1.93482596584423,102,-0.0513744260370264,1
"ACAM",0.6,3774,-2.43639382815499,114,-0.0625270204163326,1
"ACAM",0.6,3159,-2.19692545617429,104,-0.057297436546988,1
"ACAM",0.6,687,-2.4143403000032,116,-0.0608107953661565,1
"ACAM",0.6,289,-2.09202896587927,112,-0.051808883341606,1
"ACAM",0.6,3170,-1.6828401110058,106,-0.0454577327746939,1
"ACAM",0.6,609,-2.15115747157427,105,-0.0562960266425615,1
"ACAM",0.6,330,-2.16122416515787,103,-0.0567990462678099,1
"ACAM",0.6,3901,-2.07729326081785,109,-0.0522096067981197,1
"ACAM",0.6,1391,-2.0065499624131,104,-0.0538341861720218,1
"ACAM",0.6,1355,-2.09638595199851,108,-0.0527263238084838,1
"ACAM",0.6,2767,-2.32605316575695,120,-0.0543481881677128,1
"ACAM",0.6,1471,-2.38630335099231,111,-0.061434054504427,1
"ACAM",0.6,225,-2.35521816151784,113,-0.0598314206105559,1
"ACAM",0.6,2392,-1.91932263016371,117,-0.0453763669977812,1
"ACAM",0.6,2302,-2.14069769231361,109,-0.0539473257836735,1
"ACAM",0.6,2824,-2.41456469834366,119,-0.060081847673231,1
"ACAM",0.6,1256,-1.82250301632526,112,-0.0453427778359674,1
"ACAM",0.6,583,-2.10620756290179,111,-0.0508007781671402,1
"ACAM",0.6,461,-2.27093852422045,114,-0.0546948820768992,1
"ACAM",0.6,1927,-2.21724426227421,114,-0.053777286370637,1
"ACAM",0.6,598,-1.57498575516482,104,-0.0456224488082052,1
"ACAM",0.6,487,-2.03932530613634,105,-0.0527878856705849,1
"ACAM",0.6,3678,-2.29036142278022,114,-0.0561203311428746,1
"ACAM",0.6,2116,-2.2804111290289,109,-0.059029963961943,1
"ACAM",0.6,2728,-1.9650336294871,117,-0.0455833429038487,1
"ACAM",0.6,466,-2.15523075500531,109,-0.0548483603316212,1
"ACAM",0.6,1279,-1.97941645903287,113,-0.048581219245176,1
"ACAM",0.6,3731,-2.13916559801403,107,-0.0541046787178856,1
"ACAM",0.6,2323,-1.89791063746555,104,-0.0508980225614517,1
"ACAM",0.6,784,-2.22270245467498,111,-0.0550905447160771,1
"ACAM",0.6,2096,-2.20598786973056,106,-0.0570560937174832,1
"ACAM",0.6,810,-2.29422481554645,111,-0.0572784301591395,1
"ACAM",0.6,3174,-2.25283237686419,108,-0.0580375906271783,1
