"focal","water","post_num","igr","equil","alpha_inter","lambda","microbe"
"ACAM",0.6,2139,-2.38557805816186,115,-0.0608517535934276,31.7838410251011,1
"ACAM",0.6,1048,-2.35418138926254,108,-0.06106368729285,25.4816653563973,1
"ACAM",0.6,114,-2.17764346492305,110,-0.054159686670615,27.6457983827908,1
"ACAM",0.6,1181,-2.37627820814255,109,-0.0634182881213126,31.0445364708431,1
"ACAM",0.6,792,-2.12121684485012,114,-0.0505774336880093,26.9562179687602,1
"ACAM",0.6,3531,-2.36756524727245,115,-0.0588661550912903,28.263065613993,1
"ACAM",0.6,64,-2.42932145518877,118,-0.06144881888815,30.0057453514946,1
"ACAM",0.6,2936,-1.80859953284887,103,-0.0493388447272129,27.7257949095529,1
"ACAM",0.6,2007,-1.88020852952911,109,-0.0472131029676132,25.6182423063522,1
"ACAM",0.6,1520,-2.31304335301266,105,-0.0620275357347433,28.9107755575887,1
"ACAM",0.6,2831,-2.05334353392089,112,-0.049984780283924,27.3900433067125,1
"ACAM",0.6,1508,-2.30193403424069,117,-0.0558017861393981,30.8410350246937,1
"ACAM",0.6,1780,-2.32037781613743,118,-0.0560765535951255,31.0517009746083,1
"ACAM",0.6,2879,-2.29380622112536,115,-0.0556687591478867,28.2176900938014,1
"ACAM",0.6,2164,-2.19153532056015,112,-0.0532578943704905,26.5886126109354,1
"ACAM",0.6,781,-2.34559634696546,111,-0.0596710196924009,27.5485400199805,1
"ACAM",0.6,2427,-2.04261701219911,108,-0.0514831099784614,26.9791388477255,1
"ACAM",0.6,3884,-2.0116886572879,112,-0.0498475104249539,29.8112108207205,1
"ACAM",0.6,3488,-2.21856877460654,109,-0.0562000127563298,28.4262718196512,1
"ACAM",0.6,3209,-2.09939651895502,113,-0.0499393760384216,25.2944763066052,1
"ACAM",0.6,1186,-2.18525568974616,109,-0.0549075935146803,27.6658296155317,1
"ACAM",0.6,2815,-1.86552528173553,106,-0.0480983402044208,25.198396352467,1
"ACAM",0.6,3586,-2.13916401616037,118,-0.0493898595107436,27.162293288072,1
"ACAM",0.6,3773,-2.46947755345038,116,-0.0647989162311517,26.3947666520113,1
"ACAM",0.6,915,-2.27595869194453,110,-0.0580895606576005,29.9332945534884,1
"ACAM",0.6,257,-2.44258733648696,118,-0.0611320739433323,25.6892650327182,1
