"species","water","post_num","n_star","lambda","alpha_ii","g_i","s_i"
"ACAM",0.6,1757,97.7630783580647,28.4519889024881,-0.0548464988381406,0.516111111111111,0.16
"ACAM",0.6,1680,109.70915469732,25.2854834877257,-0.0467905676942412,0.516111111111111,0.16
"ACAM",0.6,1828,104.104881544847,31.4494989007561,-0.0533696294970443,0.516111111111111,0.16
"ACAM",0.6,1179,116.694725078401,31.0986696189397,-0.0474254796510883,0.516111111111111,0.16
"ACAM",0.6,1907,89.9262374488347,30.5125222867155,-0.0611327203090125,0.516111111111111,0.16
"ACAM",0.6,417,117.405732597781,26.7625826267514,-0.0446601499872331,0.516111111111111,0.16
"ACAM",0.6,121,98.4182344284599,29.7392884084585,-0.0553525653224366,0.516111111111111,0.16
"ACAM",0.6,2249,116.175303621597,26.3805962276415,-0.0448933896569046,0.516111111111111,0.16
"ACAM",0.6,1766,107.928697062795,28.9493221414874,-0.0499916915086613,0.516111111111111,0.16
"ACAM",0.6,1278,110.07589267665,28.9569133080182,-0.0490211435456904,0.516111111111111,0.16
"ACAM",0.6,852,101.284596968104,26.9340952126093,-0.0518907651887471,0.516111111111111,0.16
"ACAM",0.6,701,95.3327861609016,28.6592332079543,-0.0563921906531703,0.516111111111111,0.16
"ACAM",0.6,1282,102.042165448114,29.7433890394988,-0.0533893892896968,0.516111111111111,0.16
"ACAM",0.6,118,107.890252448399,26.312771716418,-0.0482945878400291,0.516111111111111,0.16
"ACAM",0.6,1471,114.974082301859,32.121563121745,-0.0486806047257683,0.516111111111111,0.16
"ACAM",0.6,1317,104.547914685599,31.9860749234631,-0.0534570006598103,0.516111111111111,0.16
"ACAM",0.6,949,110.963238877815,31.7863271016726,-0.0502570064681765,0.516111111111111,0.16
"ACAM",0.6,2218,90.7779612117434,26.2628224061282,-0.0573579053941622,0.516111111111111,0.16
"ACAM",0.6,1739,93.0769329528176,29.0813393665668,-0.0580633002659742,0.516111111111111,0.16
"ACAM",0.6,2117,118.55982413444,26.2113783476934,-0.0438853101175824,0.516111111111111,0.16
"ACAM",0.6,139,105.431141443953,31.0511229225003,-0.0524639933142038,0.516111111111111,0.16
"ACAM",0.6,1367,101.122546535908,31.4776491738295,-0.0549607647091297,0.516111111111111,0.16
"ACAM",0.6,71,106.319859908804,31.5868724617666,-0.052337201696901,0.516111111111111,0.16
"ACAM",0.6,681,85.0031252350431,25.2115944504532,-0.0603234690841864,0.516111111111111,0.16
"ACAM",0.6,1271,108.474407377223,30.9654815736911,-0.0509427752871762,0.516111111111111,0.16
"ACAM",0.6,1652,105.118541368323,27.9798083344306,-0.0507002609354463,0.516111111111111,0.16
