"focal","water","post_num","igr","dens"
"ACAM",0.6,1640,-2.12131704160654,101.51669174338
"ACAM",0.6,1639,-1.36774925822543,104.746143477421
"ACAM",0.6,843,-2.40700335754091,108.365435617954
"ACAM",0.6,465,-2.24927608467998,101.990988690781
"ACAM",0.6,996,-2.14631997222997,118.620310006316
"ACAM",0.6,1549,-1.04829480647437,111.849745504908
"ACAM",0.6,3880,-2.34655046947418,112.83594981957
"ACAM",0.6,3801,-1.80902213503261,116.018967813558
"ACAM",0.6,1200,-2.01441806759921,135.858894552087
"ACAM",0.6,3417,-2.34515680463336,129.419620938621
"ACAM",0.6,3863,-2.38615642764132,124.330361489651
"ACAM",0.6,1134,-2.06898284056242,117.744939617087
"ACAM",0.6,84,-1.55577859260813,108.826346021705
"ACAM",0.6,1895,-2.40048522016864,122.853965043179
"ACAM",0.6,3101,-2.40655169033143,112.929435988955
"ACAM",0.6,1165,-2.25049400547908,111.694114433591
"ACAM",0.6,2300,-2.43103833805391,117.199195355267
"ACAM",0.6,2781,-2.16403553723049,109.475453841079
"ACAM",0.6,3958,-1.91849061231021,122.056119488613
"ACAM",0.6,2668,-2.50630291950118,119.687513008445
"ACAM",0.6,1328,-0.747795080986916,111.147712585668
"ACAM",0.6,3617,-2.4386619816019,105.969186135514
"ACAM",0.6,557,-2.35816336543293,107.510669847253
"ACAM",0.6,1685,-2.40437364338303,110.640227668272
"ACAM",0.6,287,-2.20354905448081,111.515710394777
"ACAM",0.6,2662,-2.1823752012273,123.729669883226
"ACAM",0.6,3217,-2.31843054642314,118.673819677414
"ACAM",0.6,2377,-2.5419218492662,116.377574530058
"ACAM",0.6,2535,-2.32679110089812,117.737934585435
"ACAM",0.6,2903,-2.10487985523235,111.912223336403
"ACAM",0.6,2899,-2.23880458515045,118.957258674739
"ACAM",0.6,3702,-2.47541498575221,119.55189507191
"ACAM",0.6,1522,-2.41317097666891,126.158913202271
"ACAM",0.6,858,-2.36117451601535,107.116109157901
"ACAM",0.6,1840,-2.11172084218118,113.172238673508
"ACAM",0.6,2667,-2.02092609755556,110.278463427019
"ACAM",0.6,576,-2.08936729150805,137.533781702158
"ACAM",0.6,990,-2.23646329939951,114.043590810505
"ACAM",0.6,3562,-2.05149682433424,109.68124803487
"ACAM",0.6,3808,-2.30014690844671,120.838495848829
"ACAM",0.6,3071,-2.10772436592757,113.243923501734
"ACAM",0.6,3175,-0.82897200333626,110.938826478266
"ACAM",0.6,316,-2.26011465359669,142.228326515035
"ACAM",0.6,1075,-2.28651023488697,109.928393783392
"ACAM",0.6,733,-1.96198299988201,111.797067361337
"ACAM",0.6,1314,-2.32006878402508,117.373585487334
"ACAM",0.6,2698,-2.33467101059727,102.24163659277
"ACAM",0.6,3996,-1.68206757313996,103.463007241905
"ACAM",0.6,811,-2.23004538617108,110.835864610538
"ACAM",0.6,955,-2.36300836311656,109.948260222817
"ACAM",0.6,2330,-1.59769989225381,106.671155432529
"ACAM",0.6,1167,-2.40538337207398,114.20966275507
"ACAM",0.6,3514,-1.83165528860383,112.936088958323
"ACAM",0.6,2333,-2.31073728550574,121.545016522486
"ACAM",0.6,1706,-2.46512879911881,119.42031749648
"ACAM",0.6,3120,-2.4528951307325,114.009180555426
"ACAM",0.6,501,-1.95361748473434,112.383511078313
"ACAM",0.6,3788,-2.22982546405377,110.881937194752
"ACAM",0.6,2559,-2.13551047763164,114.760800340849
