"focal","water","post_num","igr","dens"
"ACAM",0.6,2005,-2.3763573284178,114.89827390388
"ACAM",0.6,498,-1.68079089494527,93.3547236692889
"ACAM",0.6,1143,-1.25101137551996,96.7429880429727
"ACAM",0.6,1624,-1.35884320164084,101.147943621262
"ACAM",0.6,2069,-1.59379297320673,105.299759558116
"ACAM",0.6,1650,-2.2917577847401,113.47233591216
"ACAM",0.6,2016,-1.63993784914053,96.0269720227088
"ACAM",0.6,1892,-2.28694304462572,111.397875850936
"ACAM",0.6,1630,-2.33995081162403,114.095558981886
"ACAM",0.6,334,-2.05169813022437,100.888098674009
"ACAM",0.6,1093,-2.25741626609823,120.374173338604
"ACAM",0.6,168,-2.33465752540965,113.725069765106
"ACAM",0.6,992,-2.3546056582592,112.042522674226
"ACAM",0.6,2140,-2.29767774475213,107.361482332678
"ACAM",0.6,2481,-2.06933551228645,109.795175417638
"ACAM",0.6,954,-1.26026584996818,100.006782485245
"ACAM",0.6,493,-1.86422674126417,102.739349860295
"ACAM",0.6,1485,-1.88945971523154,94.1523644258303
"ACAM",0.6,958,-2.10700973508351,113.064236540434
"ACAM",0.6,160,-2.13870708890388,101.620724274636
"ACAM",0.6,1663,-1.21032225976363,109.041756946353
"ACAM",0.6,1703,-2.10322362217109,98.1850674265012
"ACAM",0.6,1017,-1.76533818718121,101.755327249129
"ACAM",0.6,1761,-2.39353127992152,113.429076152939
"ACAM",0.6,751,-2.3876123957387,113.146207072361
"ACAM",0.6,1165,-1.96667804433929,102.111377079966
"ACAM",0.6,1189,-2.16459191739618,101.902508657852
"ACAM",0.6,137,-1.61965236491573,100.309271980626
"ACAM",0.6,1,-1.66419079080371,100.083446391159
"ACAM",0.6,2251,-1.76153405210552,90.3141593364766
"ACAM",0.6,1938,-2.31824086039424,110.58051340057
"ACAM",0.6,2060,-1.72493368723276,94.8995444147294
"ACAM",0.6,812,-2.26746085446769,97.8533566753712
"ACAM",0.6,998,-2.07906887531607,107.016834920719
"ACAM",0.6,1885,-2.27047073094277,108.958422559856
"ACAM",0.6,1269,-1.88862699654644,101.895067716987
"ACAM",0.6,1517,-1.58732017595688,89.8505059521981
"ACAM",0.6,286,-1.83381919200609,93.1578307633839
"ACAM",0.6,1613,-2.28175263000386,111.920257313564
"ACAM",0.6,1133,-2.17720046462357,100.727226987896
"ACAM",0.6,2038,-1.89471062671136,102.393873704404
