unique.ID,block,water,microbe,rep,bkgrd,focal,ACAM,BRHO,BRHO.flowering,date,sample.collected,num.living.bg.indiv,num.dead.bg.indiv,num.focal.indiv,date,notes
62,27,0.6,0,3,ACAM,BRHO,3,focal,no,,,,,,,
103,27,0.75,0,4,ACAM,BRHO,6,focal,buds,,,,,,,
42,28,0.75,0,2,ACAM,BRHO,3,focal,buds,,,,,,,
89,28,1,0,3,ACAM,BRHO,60,focal,buds,,,,,,,
46,28,0.75,0,2,ACAM,BRHO,24,focal,buds,,,,,,,
57,28,1,0,2,ACAM,BRHO,36,focal,no,,,,,,,
59,28,1,0,2,ACAM,BRHO,60,focal,yes,,,,,,,
1,28,0.6,0,1,ACAM,BRHO,0,focal,no,,,,,,,
99,28,0.6,0,4,ACAM,BRHO,60,focal,no,,,,,,,
118,28,1,0,4,ACAM,BRHO,48,focal,no,,,,,,,
38,29,0.6,0,2,ACAM,BRHO,48,focal,yes,,,,,,,
79,29,0.75,0,3,ACAM,BRHO,60,focal,no,,,,,,,
15,29,0.75,0,1,ACAM,BRHO,18,focal,no,,,,,,,
21,29,1,0,1,ACAM,BRHO,0,focal,no,,,,,,,
97,29,0.6,0,4,ACAM,BRHO,36,focal,yes,,,,,,,
113,29,1,0,4,ACAM,BRHO,6,focal,no,,,,,,,
74,29,0.75,0,3,ACAM,BRHO,12,focal,no,,,,,,,
33,29,0.6,0,2,ACAM,BRHO,6,focal,no,,,,,,,
128,30,0.6,0,5,ACAM,BRHO,48,focal,no,,,,,,,
83,30,1,0,3,ACAM,BRHO,6,focal,no,,,,,,,
31,30,0.6,0,2,ACAM,BRHO,0,focal,no,,,,,,,
67,30,0.6,0,3,ACAM,BRHO,36,focal,no,,,,,,,
20,30,0.75,0,1,ACAM,BRHO,84,focal,yes,,,,,,,
56,30,1,0,2,ACAM,BRHO,24,focal,no,,,,,,,
64,30,0.6,0,3,ACAM,BRHO,12,focal,no,,,,,,,
141,30,1,0,5,ACAM,BRHO,0,focal,no,,,,,,,
180,31,1,1,1,ACAM,BRHO,84,focal,yes,,,,,,,
276,31,0.6,1,5,ACAM,BRHO,24,focal,yes,,,,,,,
308,31,0.75,1,1,BRHO,ACAM,focal,48,yes,,,,,,,
200,31,0.75,1,2,ACAM,BRHO,84,focal,yes,,,,,,,
258,31,0.75,1,4,ACAM,BRHO,48,focal,yes,,,,,,,
196,31,0.75,1,2,ACAM,BRHO,24,focal,yes,,,,,,,
311,31,1,1,1,BRHO,ACAM,focal,24,yes,,,,,,,
218,31,0.6,1,3,ACAM,BRHO,48,focal,yes,,,,,,,
231,32,1,1,3,ACAM,BRHO,0,focal,no,,,,,,,
183,32,0.6,1,2,ACAM,BRHO,6,focal,yes,,,,,,,
243,32,0.6,1,4,ACAM,BRHO,6,focal,no,,,,,,,
161,32,0.75,1,1,ACAM,BRHO,0,focal,no,,,,,,,
171,32,1,1,1,ACAM,BRHO,0,focal,no,,,,,,,
238,32,1,1,3,ACAM,BRHO,48,focal,yes,,,,,,,
239,32,1,1,3,ACAM,BRHO,60,focal,yes,,,,,,,
348,32,1,1,4,BRHO,ACAM,focal,48,yes,,,,,,,
345,33,1,1,4,BRHO,ACAM,focal,0,NA,,,,,,,
337,33,0.6,1,4,BRHO,ACAM,focal,0,NA,,,,,,,
344,33,0.75,1,4,BRHO,ACAM,focal,48,yes,,,,,,,
