unique.ID,block,water,microbe,rep,bkgrd,focal,ACAM,BRHO
186,8,0.5,1,2,ACAM,BRHO,24,3
187,19,0.5,1,2,ACAM,BRHO,36,3
188,43,0.5,1,2,ACAM,BRHO,48,3
189,14,0.5,1,2,ACAM,BRHO,60,3
190,18,0.5,1,2,ACAM,BRHO,84,3
191,22,0.75,1,2,ACAM,BRHO,0,3
192,16,0.75,1,2,ACAM,BRHO,3,3
193,42,0.75,1,2,ACAM,BRHO,6,3
194,39,0.75,1,2,ACAM,BRHO,12,3
195,36,0.75,1,2,ACAM,BRHO,18,3
196,26,0.75,1,2,ACAM,BRHO,24,3
197,7,0.75,1,2,ACAM,BRHO,36,3
198,18,0.75,1,2,ACAM,BRHO,48,3
199,29,0.75,1,2,ACAM,BRHO,60,3
200,25,0.75,1,2,ACAM,BRHO,84,3
201,14,1,1,2,ACAM,BRHO,0,3
202,4,1,1,2,ACAM,BRHO,3,3
203,4,1,1,2,ACAM,BRHO,6,3
204,20,1,1,2,ACAM,BRHO,12,3
205,1,1,1,2,ACAM,BRHO,18,3
206,44,1,1,2,ACAM,BRHO,24,3
207,11,1,1,2,ACAM,BRHO,36,3
208,40,1,1,2,ACAM,BRHO,48,3
209,12,1,1,2,ACAM,BRHO,60,3
210,29,1,1,2,ACAM,BRHO,84,3
211,16,0.5,1,3,ACAM,BRHO,0,3
212,15,0.5,1,3,ACAM,BRHO,3,3
213,24,0.5,1,3,ACAM,BRHO,6,3
214,44,0.5,1,3,ACAM,BRHO,12,3
215,7,0.5,1,3,ACAM,BRHO,18,3
216,19,0.5,1,3,ACAM,BRHO,24,3
217,3,0.5,1,3,ACAM,BRHO,36,3
218,42,0.5,1,3,ACAM,BRHO,48,3
219,21,0.5,1,3,ACAM,BRHO,60,3
220,41,0.5,1,3,ACAM,BRHO,84,3
221,32,0.75,1,3,ACAM,BRHO,0,3
222,29,0.75,1,3,ACAM,BRHO,3,3
223,31,0.75,1,3,ACAM,BRHO,6,3
224,36,0.75,1,3,ACAM,BRHO,12,3
225,10,0.75,1,3,ACAM,BRHO,18,3
226,7,0.75,1,3,ACAM,BRHO,24,3
227,18,0.75,1,3,ACAM,BRHO,36,3
228,23,0.75,1,3,ACAM,BRHO,48,3
229,34,0.75,1,3,ACAM,BRHO,60,3
230,39,0.75,1,3,ACAM,BRHO,84,3
231,27,1,1,3,ACAM,BRHO,0,3
232,22,1,1,3,ACAM,BRHO,3,3
233,33,1,1,3,ACAM,BRHO,6,3
234,22,1,1,3,ACAM,BRHO,12,3
235,43,1,1,3,ACAM,BRHO,18,3
236,40,1,1,3,ACAM,BRHO,24,3
237,31,1,1,3,ACAM,BRHO,36,3
238,27,1,1,3,ACAM,BRHO,48,3
239,27,1,1,3,ACAM,BRHO,60,3
240,4,1,1,3,ACAM,BRHO,84,3
241,6,0.5,1,4,ACAM,BRHO,0,3
242,23,0.5,1,4,ACAM,BRHO,3,3
243,27,0.5,1,4,ACAM,BRHO,6,3
244,36,0.5,1,4,ACAM,BRHO,12,3
245,32,0.5,1,4,ACAM,BRHO,18,3
246,15,0.5,1,4,ACAM,BRHO,24,3
247,12,0.5,1,4,ACAM,BRHO,36,3
248,39,0.5,1,4,ACAM,BRHO,48,3
249,41,0.5,1,4,ACAM,BRHO,60,3
250,19,0.5,1,4,ACAM,BRHO,84,3
251,17,0.75,1,4,ACAM,BRHO,0,3
252,44,0.75,1,4,ACAM,BRHO,3,3
253,2,0.75,1,4,ACAM,BRHO,6,3
254,38,0.75,1,4,ACAM,BRHO,12,3
255,7,0.75,1,4,ACAM,BRHO,18,3
256,18,0.75,1,4,ACAM,BRHO,24,3
257,40,0.75,1,4,ACAM,BRHO,36,3
258,25,0.75,1,4,ACAM,BRHO,48,3
259,1,0.75,1,4,ACAM,BRHO,60,3
260,38,0.75,1,4,ACAM,BRHO,84,3
261,45,1,1,4,ACAM,BRHO,0,3
262,9,1,1,4,ACAM,BRHO,3,3
263,38,1,1,4,ACAM,BRHO,6,3
264,28,1,1,4,ACAM,BRHO,12,3
265,3,1,1,4,ACAM,BRHO,18,3
266,11,1,1,4,ACAM,BRHO,24,3
267,15,1,1,4,ACAM,BRHO,36,3
268,7,1,1,4,ACAM,BRHO,48,3
269,22,1,1,4,ACAM,BRHO,60,3
270,5,1,1,4,ACAM,BRHO,84,3
271,35,0.5,1,5,ACAM,BRHO,0,3
272,24,0.5,1,5,ACAM,BRHO,3,3
273,11,0.5,1,5,ACAM,BRHO,6,3
274,28,0.5,1,5,ACAM,BRHO,12,3
275,33,0.5,1,5,ACAM,BRHO,18,3
276,25,0.5,1,5,ACAM,BRHO,24,3
277,30,0.5,1,5,ACAM,BRHO,36,3
278,14,0.5,1,5,ACAM,BRHO,48,3
279,39,0.5,1,5,ACAM,BRHO,60,3
280,7,0.5,1,5,ACAM,BRHO,84,3
281,39,0.75,1,5,ACAM,BRHO,0,3
282,16,0.75,1,5,ACAM,BRHO,3,3
283,40,0.75,1,5,ACAM,BRHO,6,3
284,34,0.75,1,5,ACAM,BRHO,12,3
285,32,0.75,1,5,ACAM,BRHO,18,3
286,12,0.75,1,5,ACAM,BRHO,24,3
287,7,0.75,1,5,ACAM,BRHO,36,3
288,43,0.75,1,5,ACAM,BRHO,48,3
289,5,0.75,1,5,ACAM,BRHO,60,3
290,19,0.75,1,5,ACAM,BRHO,84,3
291,35,1,1,5,ACAM,BRHO,0,3
292,14,1,1,5,ACAM,BRHO,3,3
293,25,1,1,5,ACAM,BRHO,6,3
294,21,1,1,5,ACAM,BRHO,12,3
295,1,1,1,5,ACAM,BRHO,18,3
296,23,1,1,5,ACAM,BRHO,24,3
