"focal","water","post_num","igr"
"ACAM",0.75,2159,-1.33406223644828
"ACAM",0.75,3476,-1.51351976628815
"ACAM",0.75,1948,-2.41211326806669
"ACAM",0.75,2580,-2.1779032713326
"ACAM",0.75,1530,-0.648736275119934
"ACAM",0.75,2604,-2.40560844127682
"ACAM",0.75,2937,-2.04420425604221
"ACAM",0.75,343,-1.96514870346981
"ACAM",0.75,2630,-2.12429373021822
"ACAM",0.75,3193,-2.14419248551005
"ACAM",0.75,40,-2.23926075090362
"ACAM",0.75,3756,-1.68841670399164
"ACAM",0.75,537,-1.46178903762552
"ACAM",0.75,2423,-1.56391216950047
"ACAM",0.75,248,-1.77447017273962
"ACAM",0.75,1222,-1.44714660870843
"ACAM",0.75,2426,-2.14864980113173
"ACAM",0.75,2087,-2.19762535750375
"ACAM",0.75,2483,-2.44778769881098
"ACAM",0.75,2858,-1.73245564682928
"ACAM",0.75,1414,-2.1060458900319
"ACAM",0.75,1304,-1.59602023469617
"ACAM",0.75,1696,-1.68314749331431
"ACAM",0.75,526,-2.25688691437343
"ACAM",0.75,2690,-2.10119721033891
"ACAM",0.75,1069,-2.22190401153344
"ACAM",0.75,1426,-1.50728348938229
"ACAM",0.75,22,-1.98441008848424
"ACAM",0.75,1742,-2.34492060939456
"ACAM",0.75,1766,-2.34677634716018
"ACAM",0.75,2241,-1.64169163290712
"ACAM",0.75,1395,-1.54034589584174
"ACAM",0.75,2547,-2.04467392222579
"ACAM",0.75,1128,-2.35060808542332
"ACAM",0.75,3398,-2.2160557477983
"ACAM",0.75,983,-1.23922162876269
"ACAM",0.75,1791,-2.04183851076449
"ACAM",0.75,1516,-0.712682853665048
"ACAM",0.75,3910,-1.88104913467239
"ACAM",0.75,1640,-1.70116880569683
"ACAM",0.75,1639,-1.21058674993662
"ACAM",0.75,843,-1.75235115716852
"ACAM",0.75,465,-2.35638853280237
"ACAM",0.75,996,-2.41194228418757
"ACAM",0.75,1549,-2.38864466517474
"ACAM",0.75,3880,-1.07407025023367
"ACAM",0.75,3801,-1.23383683792952
"ACAM",0.75,1200,-2.2651039615144
"ACAM",0.75,3417,-1.5885531370794
"ACAM",0.75,3863,-1.39060080324985
"ACAM",0.75,1134,-1.22936174580817
"ACAM",0.75,84,-1.28661768220556
"ACAM",0.75,1895,-1.66367140021387
"ACAM",0.75,3101,-1.46584950323517
"ACAM",0.75,1165,-2.16357585370271
"ACAM",0.75,2300,-2.30641643115627
"ACAM",0.75,2781,-0.876939057920428
"ACAM",0.75,3958,-1.35873025464974
"ACAM",0.75,2668,-1.90769469175848
"ACAM",0.75,1328,0.246656315886338
"ACAM",0.75,3617,-2.38268258454618
"ACAM",0.75,557,-1.70943799327251
"ACAM",0.75,1685,-2.39378579932339
"ACAM",0.75,287,-1.23960422936442
"ACAM",0.75,2662,-1.19698432223979
"ACAM",0.75,3217,-2.41082311442768
"ACAM",0.75,2377,-2.17187381612125
"ACAM",0.75,2535,-1.34757322757919
"ACAM",0.75,2903,-2.19895748703427
"ACAM",0.75,2899,-2.35492986405363
"ACAM",0.75,3702,-2.12892835575634
"ACAM",0.75,1522,-1.81731381511185
"ACAM",0.75,858,-1.72426438209235
"ACAM",0.75,1840,-2.30486730065769
"ACAM",0.75,2667,-1.47126501053859
"ACAM",0.75,576,-1.14008904026038
"ACAM",0.75,990,-1.81619807637396
"ACAM",0.75,3562,-1.78327208792946
"ACAM",0.75,3808,-1.33371136080614
"ACAM",0.75,3071,-2.29595356459006
"ACAM",0.75,3175,-2.42804731102732
"ACAM",0.75,316,-2.05868908886452
"ACAM",0.75,1075,-1.84863969706122
"ACAM",0.75,733,-2.18296811448032
"ACAM",0.75,1314,-0.416289517523038
"ACAM",0.75,2698,-0.722645442936912
"ACAM",0.75,3996,-2.20358555860749
"ACAM",0.75,811,-1.90008166449421
"ACAM",0.75,955,-1.36711171638824
"ACAM",0.75,2330,-2.39392481327724
"ACAM",0.75,1167,-2.37873592909326
"ACAM",0.75,3514,-2.01678613850678
"ACAM",0.75,2333,0.882955741806657
"ACAM",0.75,1706,-2.01927851209971
"ACAM",0.75,3120,-1.88755483832643
"ACAM",0.75,501,-2.31777430429759
"ACAM",0.75,3788,-1.64745791186051
"ACAM",0.75,2559,-2.41563447949819
"ACAM",0.75,3367,-1.94040783059155
"ACAM",0.75,536,-1.57933587325224
"ACAM",0.75,2741,-0.684507459400474
"ACAM",0.75,988,-1.19392507601367
"ACAM",0.75,3286,-1.60739942555918
"ACAM",0.75,2785,-0.702080854620044
"ACAM",0.75,3411,-0.931212027535586
"ACAM",0.75,3418,-1.90204675259305
"ACAM",0.75,3747,-1.76555040074857
"ACAM",0.75,1067,-1.30178288158079
"ACAM",0.75,1025,-2.54963739133166
"ACAM",0.75,29,-2.18930100339979
"ACAM",0.75,3662,-2.03426453593499
"ACAM",0.75,1942,-2.02713604109418
"ACAM",0.75,838,-2.31583905949023
"ACAM",0.75,1820,-1.73132356584053
"ACAM",0.75,1652,-1.99992080660496
"ACAM",0.75,2281,-1.10465662418648
"ACAM",0.75,1317,-1.84639461836759
"ACAM",0.75,573,-2.07427460844351
"ACAM",0.75,1966,-1.14700232864318
"ACAM",0.75,369,-1.12431278795096
"ACAM",0.75,2499,-1.94676032240652
"ACAM",0.75,86,-1.9988049088972
"ACAM",0.75,1507,-2.43255406506506
