"focal","water","post_num","igr","dens"
"ACAM",0.6,4650,-2.49739561802191,113.641364144303
"ACAM",0.6,1446,-1.62841000898269,87.8608624479023
"ACAM",0.6,2159,-1.64305281117371,93.6809603828745
"ACAM",0.6,3476,-2.22888432104174,107.547019003466
"ACAM",0.6,1948,-1.73876326867726,95.410629098629
"ACAM",0.6,2580,-1.86186889052443,99.2811916906751
"ACAM",0.6,1530,-2.13980693396065,117.781341509853
"ACAM",0.6,6700,-1.08661193890616,87.1756366822937
"ACAM",0.6,4439,-1.94889650041997,93.4850944784426
"ACAM",0.6,6726,-2.32169846659915,99.5740773700881
"ACAM",0.6,4136,-0.993362383543547,96.517225288321
"ACAM",0.6,4633,-1.35681961573766,102.879124679785
"ACAM",0.6,6519,-2.38917035159683,101.172307962522
"ACAM",0.6,4344,-2.53844504500256,121.375447843766
"ACAM",0.6,1222,-2.50073138603044,104.926528001896
"ACAM",0.6,2426,-1.30230755847878,106.426291798935
"ACAM",0.6,2087,-1.46309271248794,97.2453924750163
"ACAM",0.6,2483,-2.38417447132657,119.729250910264
"ACAM",0.6,2858,-1.79001163384165,111.890700317868
"ACAM",0.6,5510,-1.89747995147129,101.61657026953
"ACAM",0.6,5400,-2.41163423015807,104.6364084575
"ACAM",0.6,1696,-2.09454854448378,108.052138559834
"ACAM",0.6,526,-2.32978488446257,109.95825440936
"ACAM",0.6,6786,-2.17645639785463,97.6606676191398
"ACAM",0.6,1069,-1.64863389059423,99.4214987421038
"ACAM",0.6,5522,-1.61814714889255,108.103722897415
"ACAM",0.6,22,-2.20112515090157,105.778560356706
"ACAM",0.6,5838,-1.54644349960867,97.2353943572205
"ACAM",0.6,5862,-2.09173055357892,113.850560265221
"ACAM",0.6,6337,-1.97294064349914,94.156553111893
"ACAM",0.6,5491,-1.96145817251424,97.5583151221711
"ACAM",0.6,6643,-2.28462246388664,104.889992078713
"ACAM",0.6,1128,-2.19766824987018,103.474782957797
"ACAM",0.6,983,-1.4463101562121,100.670038719436
"ACAM",0.6,1791,-2.42592417166068,116.484353541411
"ACAM",0.6,5612,-1.9447609486729,108.756120759961
